u;v;oneway;length;geometry;name
208911309;2439088601;True;376.0;LINESTRING (-8.4229398 41.5510799, -8.4215663 41.548835, -8.4212096 41.5482387, -8.421071 41.5480013);Avenida da Liberdade
208911309;243891925;True;308.834;LINESTRING (-8.4253161 41.552962, -8.4250262 41.5529724, -8.4248288 41.5529403, -8.424597 41.5528954, -8.4244254 41.5528183, -8.4243052 41.5527541, -8.4241336 41.5525999, -8.423811 41.5521066, -8.4236471 41.5518401, -8.4235223 41.5517086, -8.4229398 41.5510799);Avenida Central
208911309;1462972942;True;195.15;LINESTRING (-8.4215785 41.551775, -8.4217758 41.5517437, -8.4220324 41.5517351, -8.4230403 41.5516761, -8.4231073 41.5516527, -8.423133 41.5516006, -8.4231249 41.5514946, -8.423098 41.5513941, -8.4229398 41.5510799);Túnel da Avenida Central
213281832;2057080323;True;20.519;;Largo da Senhora-a-Branca
213281832;2435308256;False;19.107;LINESTRING (-8.4171609 41.5517669, -8.4171889 41.5517028, -8.4172616 41.5516137);Largo da Senhora-a-Branca
213281832;343675936;False;319.56600000000003;LINESTRING (-8.4171609 41.5517669, -8.4171476 41.551831, -8.4171255 41.5520452, -8.4171192 41.5521056, -8.4171187 41.552116, -8.4171174 41.5521429, -8.4171002 41.5526953, -8.4170756 41.5529905, -8.4170491 41.5535275, -8.4170101 41.5544048, -8.4169997 41.5546375);Rua de Santa Margarida
216283011;1806495889;True;120.299;LINESTRING (-8.423627 41.5536925, -8.42364 41.553759, -8.4237738 41.5540866, -8.423793 41.5541335, -8.4238564 41.5542081, -8.42392 41.554283, -8.4241668 41.5546076, -8.4242173 41.5546694);['Avenida General Norton de Matos', 'Praça Alexandre Herculano']
216283011;343677045;True;133.559;LINESTRING (-8.423627 41.5536925, -8.4235455 41.5536915, -8.4220842 41.5536187, -8.4220253 41.5536161);Rua Santo André
216283011;243777880;True;170.741;LINESTRING (-8.425608 41.5538184, -8.4255533 41.5537885, -8.4255002 41.5537666, -8.4252812 41.5536761, -8.4250698 41.5536149, -8.4242216 41.5536522, -8.4237752 41.5536819, -8.423627 41.5536925);Rua do Carvalhal
216283011;1462972942;True;375.392;LINESTRING (-8.4215785 41.551775, -8.4217625 41.5517995, -8.4220354 41.5517968, -8.4234343 41.5517406, -8.4235012 41.5517729, -8.4235259 41.5518343, -8.4235382 41.5520955, -8.4235413 41.552179, -8.4236267 41.5536448, -8.423627 41.5536925);['Rua dos Chãos', 'Avenida Central']
216283020;1806495889;False;4.995;;Rua Gabriel Pereira de Castro
216283020;1353874672;False;126.518;LINESTRING (-8.4241709 41.5546979, -8.4241511 41.5547087, -8.424109 41.5547315, -8.422991 41.5554154);Rua Gabriel Pereira de Castro
216283020;1763916884;True;25.131999999999998;LINESTRING (-8.4241709 41.5546979, -8.4242515 41.5547703, -8.4243595 41.5548744);Avenida General Norton de Matos
218617926;1806495889;False;10.541;;Rua Gabriel Pereira de Castro
218617926;243777037;False;119.286;LINESTRING (-8.4243198 41.5546137, -8.4244378 41.5545427, -8.4251946 41.5540876, -8.4254406 41.5539449);Rua Gabriel Pereira de Castro
218617926;218621339;True;43.679;LINESTRING (-8.4246442 41.5549225, -8.4243995 41.5546866, -8.4243198 41.5546137);Avenida General Norton de Matos
218621330;1640698221;True;21.201;LINESTRING (-8.4247441 41.5550869, -8.4247662 41.5550526, -8.4247702 41.5550145, -8.4247555 41.554978, -8.4247241 41.554948, -8.4246803 41.5549285);Avenida General Norton de Matos
218621330;218621331;True;11.030999999999999;LINESTRING (-8.4246291 41.555129, -8.4246729 41.5551246, -8.4247126 41.5551101, -8.4247441 41.5550869);Avenida General Norton de Matos
218621330;1650509909;True;96.545;LINESTRING (-8.4251057 41.5559118, -8.4250625 41.5558095, -8.4248416 41.5553181, -8.4248095 41.5552504, -8.4247441 41.5550869);Avenida General Norton de Matos
218621331;1480230939;True;49.701;LINESTRING (-8.4246291 41.555129, -8.4246823 41.5552701, -8.424716 41.5553597, -8.4247912 41.5555592);Avenida General Norton de Matos
218621331;218621512;True;20.071;LINESTRING (-8.4244975 41.5550044, -8.424495 41.5550344, -8.4245042 41.5550637, -8.4245243 41.5550898, -8.4245536 41.5551104, -8.4245895 41.5551239, -8.4246291 41.555129);Avenida General Norton de Matos
218621339;218621512;True;16.552;LINESTRING (-8.4246442 41.5549225, -8.4245947 41.5549262, -8.4245501 41.5549427, -8.4245163 41.5549699, -8.4244975 41.5550044);Avenida General Norton de Matos
218621339;1640698221;True;3.077;;Avenida General Norton de Matos
218621512;1763916884;True;18.461;LINESTRING (-8.4243595 41.5548744, -8.4244845 41.5549922, -8.4244975 41.5550044);Avenida General Norton de Matos
227036045;1720871371;True;152.141;LINESTRING (-8.4177825 41.5494035, -8.4181086 41.5495939, -8.4189056 41.5503949, -8.4189534 41.5504431);Rua de Gôa
227036045;248805075;True;70.316;;Rua 25 de Abril
227037687;227037689;True;95.712;LINESTRING (-8.4207479 41.5474475, -8.4206131 41.5474935, -8.4197904 41.5477605, -8.4196937 41.5477916);Rua 25 de Abril
227037687;2439088601;True;67.194;LINESTRING (-8.421071 41.5480013, -8.420945 41.5477854, -8.4208561 41.547633, -8.4208265 41.5475822, -8.4207479 41.5474475);Avenida da Liberdade
227037689;227037692;True;47.323;LINESTRING (-8.4196937 41.5477916, -8.4194183 41.5479079, -8.4192123 41.5480171);Rua 25 de Abril
227037689;248805075;True;265.649;LINESTRING (-8.418313 41.5489113, -8.4188501 41.5491818, -8.4189647 41.5492142, -8.4190425 41.5492261, -8.4191259 41.5492117, -8.4191933 41.5491703, -8.4199182 41.5484623, -8.419993 41.5483598, -8.4199814 41.5482637, -8.4196937 41.5477916);Rua de Damão
227037692;248805075;True;124.484;LINESTRING (-8.4192123 41.5480171, -8.4189994 41.5482213, -8.4186029 41.5486016, -8.418313 41.5489113);Rua 25 de Abril
229122039;1480230941;False;70.094;;Rua Gabriel Pereira de Castro
229122039;1640687796;True;61.434;LINESTRING (-8.421945 41.5560743, -8.4218651 41.5559786, -8.4218575 41.5557177, -8.4218458 41.5556455, -8.4218351 41.5555825, -8.4218036 41.5555472);Rua do Burgo
